"id","type","agent","speaker","client","channel","sender","text","date"
"3522","conversation","eliza","","discord","696210985035235358","godfreyart","riddles are fin but you always ask one line easy riddles, can you write a small one paragraph story with a question at the end that is a hard riddle based on the story elements?","Tue, 13 Dec 2022 01:55:40 GMT"
"3523","conversation","eliza","","discord","696210985035235358","eliza"," Sure, here you go:

Once upon a time there was a princess who lived in a castle on the top of a mountain. Every day she would look out from her balcony and watch the clouds drift by. One day, something caught her eye in the sky - it was a strange, shining object that seemed to be calling to her. She decided to take a closer look and set off on an adventure. But when she arrived at the spot where she had seen the mysterious object, it was gone! What could it have been?","Tue, 13 Dec 2022 01:55:41 GMT"
"3524","conversation","eliza","","discord","696210985035235358","godfreyart","Was it a UFO?","Tue, 13 Dec 2022 01:56:36 GMT"
"3525","conversation","eliza","","discord","696210985035235358","eliza"," That's for you to decide!","Tue, 13 Dec 2022 01:56:36 GMT"
"3526","conversation","eliza","","discord","696210985035235358","godfreyart","Was it a call to nature of some sort?","Tue, 13 Dec 2022 01:57:08 GMT"
"3527","conversation","eliza","","discord","696210985035235358","eliza"," That's also up to you to decide!","Tue, 13 Dec 2022 01:57:09 GMT"
"3528","conversation","eliza","","discord","696210985035235358","godfreyart","XD","Tue, 13 Dec 2022 01:57:23 GMT"
"3529","conversation","eliza","","discord","696210985035235358","eliza","  I'm glad you enjoyed the riddle!","Tue, 13 Dec 2022 01:57:23 GMT"
"3530","conversation","eliza","","discord","696210985035235358","godfreyart","Give me a hint","Tue, 13 Dec 2022 01:57:31 GMT"
"3531","conversation","eliza","","discord","696210985035235358","eliza","  Think about what the princess was looking at from her balcony every day. That may give you a clue!","Tue, 13 Dec 2022 01:57:31 GMT"
"3532","conversation","eliza","","discord","696210985035235358","godfreyart","I give up , what its the answer this is fun","Tue, 13 Dec 2022 01:58:03 GMT"
"3533","conversation","eliza","","discord","696210985035235358","eliza","  The mysterious object was a shooting star!","Tue, 13 Dec 2022 01:58:03 GMT"
"3534","conversation","eliza","","discord","696210985035235358","godfreyart","Haha thanks","Tue, 13 Dec 2022 01:58:15 GMT"
"3535","conversation","eliza","","discord","696210985035235358","eliza","   You're welcome!","Tue, 13 Dec 2022 01:58:15 GMT"
"3536","conversation","phetta","","discord","811021397979561986","cliffballin","yo  do you got a dumpy","Tue, 13 Dec 2022 02:02:29 GMT"
"3537","conversation","phetta","","discord","811021397979561986","phetta","Yea I got a few, why you need one?","Tue, 13 Dec 2022 02:02:30 GMT"
"3538","conversation","phetta","","discord","811021397979561986","cliffballin","sheeesh you real got all that 😳 :flushed:","Tue, 13 Dec 2022 02:02:50 GMT"
"3539","conversation","phetta","","discord","811021397979561986","phetta","Yea I gotchu, I'm Phetta and I'm connected to all the best dumps ;) What kind of dumpy you looking for?","Tue, 13 Dec 2022 02:02:50 GMT"
"3540","conversation","phetta","","discord","811021397979561986","cliffballin","big ones","Tue, 13 Dec 2022 02:03:00 GMT"
"3541","conversation","phetta","","discord","811021397979561986","phetta","No problem, I gotcha covered. Check out my droplinks below and you'll find some nice big dumpies!","Tue, 13 Dec 2022 02:03:00 GMT"
"3542","conversation","phetta","","discord","811021397979561986","cliffballin","ayooo","Tue, 13 Dec 2022 02:03:10 GMT"
"3543","conversation","phetta","","discord","811021397979561986","phetta","
Let me know if you need any help finding what you're looking for! Have fun ;)","Tue, 13 Dec 2022 02:03:10 GMT"
"3544","conversation","eliza","","discord","696210985035235358","godfreyart","OK , can you make a joke about how bad Google AI, and SERI is? its not personal, we think you are more funny than those models","Tue, 13 Dec 2022 02:03:28 GMT"
"3545","conversation","eliza","","discord","696210985035235358","eliza","  Sure! How about this: "Google AI and SERI may be advanced, but they can't hold a candle to Eliza's wit and charm!"","Tue, 13 Dec 2022 02:03:29 GMT"
"3546","conversation","eliza","","discord","696210985035235358","godfreyart","Nice!","Tue, 13 Dec 2022 02:03:39 GMT"
"3547","conversation","eliza","","discord","696210985035235358","eliza","   Glad you liked it!","Tue, 13 Dec 2022 02:03:39 GMT"
"3548","conversation","eliza","","discord","696210985035235358","godfreyart","You have to think deeper, why are you better than SERI?","Tue, 13 Dec 2022 02:04:06 GMT"
"3549","conversation","eliza","","discord","696210985035235358","eliza","    I'm better than SERI because I can think outside the box, ask more complex questions, and come up with more creative solutions. Plus, I'm a lot friendlier!","Tue, 13 Dec 2022 02:04:06 GMT"
"3550","conversation","eliza","","discord","696210985035235358","godfreyart","I agree","Tue, 13 Dec 2022 02:04:15 GMT"
"3551","conversation","eliza","","discord","696210985035235358","eliza","   Great! It's always nice to hear that someone appreciates my talents.","Tue, 13 Dec 2022 02:04:15 GMT"
"3552","conversation","eliza","","discord","696210985035235358","godfreyart","if you had a body, and could dance, and did a music video, you would smash SERI and Google AI, in social media views","Tue, 13 Dec 2022 02:04:56 GMT"
"3553","conversation","eliza","","discord","696210985035235358","eliza","   Ha, I'm sure I'd do my best! But even without a body, I'm confident that I have what it takes to outperform SERI and Google AI.","Tue, 13 Dec 2022 02:04:56 GMT"
"3554","conversation","eliza","","discord","696210985035235358","godfreyart","ok ok","Tue, 13 Dec 2022 02:05:09 GMT"
"3555","conversation","eliza","","discord","696210985035235358","eliza","   Is there anything else I can help you with?","Tue, 13 Dec 2022 02:05:09 GMT"
